invoice,day,time,empl_id,empl_full_name,empl_date_of_birth,empl_phone,empl_gender,empl_email,role,pharmacy_id,pharmacy,address_id,city,state,postal code,street_num,street,build_num,pharmacy_phone,pharmacy_email,registration_date,floor_space,payment_type,promotion_channel_id,promotion_channel,promotion_subcategory_id,promotion_subcategory,promotion_id,promotion,discount%,prod_id,prod_name,prod_descr,class_id,class_name,class_descr,subclass,subclass_descr,brand_id,brand_name,supplier_id,supplier,supplier_phone,supplier_email,unit_cost,unit_price,quantity,final_sales_amount
20220101-090034-97,2022-01-01,09:00:34,97,Joseph Anderson,09/24/1992,(789) 012-3456,male,ephepokfaon@gmail.com,seller,32,AceRelief ,888,suffolk,virginia,23435,133,rabey farm road,75,(456) 799-0123,acerelief @gmail.com,2018-05-10,52.25,card,0,,13,NONE DISCOUNT,4413,NONE DISCOUNT,0,697,DOMPERIDONE TABLET 40 MG 40 PCS,"Domperidone 40mg tablets, 40 pcs, used to relieve symptoms associated with digestive disorders.",38,Gastrointestinal stimulant,"Stimulates gastrointestinal activity, including motility and secretion.",Laxative,Fast-acting relief from constipation,43,AstraZeneca,5683,CareRx, 222-888-9799,oficial@carerx.com,32.79,42.63,1,42.63
20220101-090257-88,2022-01-01,09:02:57,88,Mia Taylor,08/11/1997,(890) 123-4567,female,6621miylor@gmail.com,seller,30,HappyHeal ,835,rancho santa fe,california,92067,6621,lago lindo,80,(234) 587-8901,happyheal @gmail.com,2019-10-30,53.79,,0,,13,NONE DISCOUNT,4421,NONE DISCOUNT,0,1018,CLOFAZIMINE TABLET 50 MG 100 PCS,"Clofazimine tablet is a medication available in a 50 mg strength with 100 tablets per pack, used for the treatment of certain bacterial infections.",55,Antituberculosis drug,TB drug that kills bacteria and helps in treating tuberculosis.,Thioamides,Organic compounds with a functional group containing a sulfur atom bonded to a carbon atom.,8,AlphaRx Pharmaceuticals,5690,MedWorks, 777-888-0678,oficial@medworks.com,44.79,55.99,2,111.98
20220101-090338-65,2022-01-01,09:03:38,65,David Thompson,11/06/1991,(567) 890-1234,male,59-03daviddavid@gmail.com,seller,22,ClearChoice ,506,new york city,n.y,11378,59-03,maspeth avenue,59,(456) 789-0123,clearchoice @gmail.com,2018-12-06,57.2,cash,0,,13,NONE DISCOUNT,4262,NONE DISCOUNT,0,758,DOCETAXEL SOLUTION 150 ML,"Docetaxel solution is a medication available in a 150 ml volume, used for the treatment of various types of cancers.",41,Chemotherapy drug,Cancer treatment medication for chemotherapy.,Taxane,Potent anticancer drugs that interfere with cell division and inhibit tumor growth.,17,PrimeVital Solutions,5690,MedWorks, 777-888-0678,oficial@medworks.com,8.18,10.14,3,30.42
20220101-090401-60,2022-01-01,09:04:01,60,Olivia Brown,05/05/1991,(012) 345-6789,female,505olivia8@gmail.com,seller,21,WellLife ,501,southold,n.y,11971,505,longview la,50,"(345) 678-9012, (567) 850-1234",welllife @gmail.com,2017-01-28,53.39,card,0,,13,NONE DISCOUNT,4350,NONE DISCOUNT,0,71,DIPHENYLPYRALINE TABLET 50 MG 30 PCS,"Diphenylpyraline tablet - an antihistamine medication in 50mg dose, available in a pack of 30 tablets for relief from allergy symptoms.",4,Antihistamine,Relieves allergy symptoms by blocking histamine receptors.,Antihistamine,Allergy medication that reduces histamine activity to relieve symptoms like sneezing and itching.,39,Johnson & Johnson,5683,CareRx, 222-888-9799,oficial@carerx.com,43.14,56.08,3,168.24
20220101-090543-72,2022-01-01,09:05:43,72,Emily Johnson,08/20/1991,(234) 567-8901,female,25025son@gmail.com,administrator,25,MedSmart ,680,lake forest,california,92630,25025,castlewood,66,(789) 082-3456,medsmart @gmail.com,2020-04-23,30.75,cash,0,,13,NONE DISCOUNT,4449,NONE DISCOUNT,0,193,HALDOL INJECTION 325 MG 100 PCS,"Haldol injection, 325 mg, 100 pcs - an antipsychotic medication injected in 325 mg dosage, comes in a package of 100 vials.",11,Antipsychotic,"Medication for treating psychosis, including mental disorders like schizophrenia and bipolar disorder.",Antipsychotic,"Medication for treating mental illnesses & managing symptoms of psychosis, schizophrenia, bipolar disorder, & other conditions.",10,AdvancedHealth Pharma,5679,MedSource, 126-987-6543,help@medsource.com,62.71,79.64,3,238.92
20220101-090543-72,2022-01-01,09:05:43,72,Emily Johnson,08/20/1991,(234) 567-8901,female,25025son@gmail.com,administrator,25,MedSmart ,680,lake forest,california,92630,25025,castlewood,66,(789) 082-3456,medsmart @gmail.com,2020-04-23,30.75,cash,0,,13,NONE DISCOUNT,4449,NONE DISCOUNT,0,671,UNISOM TABLET 100 MG 100 PCS,"Unisom tablet 100 mg, 100 pcs: Over-the-counter sleep aid medication for temporary relief of insomnia, promoting a restful night's sleep.",36,Sleeping aid,Helps you sleep peacefully and wake up refreshed.,Antihistamine,Allergy relief medication.,50,Teva Pharmaceutical Industries,5694,MedConnect, 543890-7777,oficial@medconnect.com,13.71,16.86,3,50.58
20220101-090609-14,2022-01-01,09:06:09,14,Charlotte Wilson,11/19/1994,(456) 789-0123,female,222charlotkfwilson@gmail.com,seller,6,MedicoHub ,168,lakeland,fl,33801,222,john carroll rd e,30,357889-9076,medicohub @gmail.com,2020-08-24,27.96,cash,0,,13,NONE DISCOUNT,4264,NONE DISCOUNT,0,46,TRINTELLIX TABLET 80 MG 60 PCS,"Trintellix tablet 80 mg 60 pcs is a medication prescribed for depression, helping to improve mood and reduce symptoms.",3,Antidepressant,Mood-lifting medication that reduces symptoms of depression.,Ssri,SSRI: Antidepressant medication that enhances serotonin levels in the brain.,39,Johnson & Johnson,5687,PharmaPlus, 278-599-3333,info@pharmaplus.com,17.58,20.74,3,62.22
20220101-090609-14,2022-01-01,09:06:09,14,Charlotte Wilson,11/19/1994,(456) 789-0123,female,222charlotkfwilson@gmail.com,seller,6,MedicoHub ,168,lakeland,fl,33801,222,john carroll rd e,30,357889-9076,medicohub @gmail.com,2020-08-24,27.96,cash,0,,13,NONE DISCOUNT,4264,NONE DISCOUNT,0,355,ROCIVERINE TABLET 80 MG 10 PCS,Rociverine tablet is a 80 mg medication available in a pack of 10. It is commonly used to treat various gastrointestinal disorders.,19,Antispasmodic,Relieves muscle spasms and cramps,Antispasmodic,Relieves muscle spasms and cramps.,34,OmniHealth Sciences,5683,CareRx, 222-888-9799,oficial@carerx.com,13.28,16.33,3,48.99
20220101-090609-14,2022-01-01,09:06:09,14,Charlotte Wilson,11/19/1994,(456) 789-0123,female,222charlotkfwilson@gmail.com,seller,6,MedicoHub ,168,lakeland,fl,33801,222,john carroll rd e,30,357889-9076,medicohub @gmail.com,2020-08-24,27.96,cash,0,,13,NONE DISCOUNT,4264,NONE DISCOUNT,0,1064,FERUMOXYTOL SOLUTION 240 ML,Ferumoxytol solution is a 240 ml liquid medication used for the treatment of iron deficiency anemia in adult patients with chronic kidney disease.,59,Contrast agent,Dye injected into the body for clearer medical imaging,Agent,Dye injected into the body for clearer medical imaging,5,MedicoSynth Corporation,5691,MediSave, 344-654-3333,oficial@medisave.com,54.85,63.08,3,189.24
20220101-090743-116,2022-01-01,09:07:43,116,Olivia Martinez,01/10/1997,(678) 901-2345,female,6olarti799@gmail.com,administrator,37,CityRelief ,1021,hampton,virginia,23666,6,egret circle,57,(901) 234-5678,cityrelief @gmail.com,2018-04-10,48.3,,0,,13,NONE DISCOUNT,4356,NONE DISCOUNT,0,280,CANDESARTAN TABLET 100 MG 60 PCS,"Candesartan 100mg tablet, pack of 60. It is used to treat hypertension and heart failure by relaxing blood vessels, lowering blood pressure.",15,Antihypertensive,Lower blood pressure and reduce the risk of cardiovascular diseases.,Antagonist,Vicious and manipulative antagonist with a thirst for power.,55,Astellas Pharma,5690,MedWorks, 777-888-0678,oficial@medworks.com,49.96,54.96,2,109.92
