receipt_number,date,time,cust_id,cust_full_name,cust_phone,cust_email,cust_gender,cust_birthdate,user_registration,cust_address_id,cust_city,cust_state,cust_postal_code,cust_street_num,cust_street_name,cust_build_num,promo_distr_id,promo_distr,promo_type_id,promo_type,promo_id,promo,promo_discount%,medicine_id,medicine,cat_id,category,subcategory,brand_id,brand,supplier_id,supplier,supplier_phone,supplier_email,cost,price,quantity,sales_amount
67544,2022-01-01,02:48:37,1267,Jack Ramirez,853-737-3429x933,johnmurray@gmail.org,female,1975-08-15,2017-12-31,725,san francisco,california,94122,1215,11th avenue,253,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,206,Morphine tablet 325 mg 60 pcs,1,Analgesics,Opioids,102,PrecisionRx Solutions,5685,QualityMeds, 321907-6900,oficial@qualitymeds.com,61.24,79.0,1,79.0
67544,2022-01-01,02:48:37,1267,Jack Ramirez,853-737-3429x933,johnmurray@gmail.org,female,1975-08-15,2017-12-31,725,san francisco,california,94122,1215,11th avenue,253,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,897,Cisapride tablet 100 mg 60 pcs,38,Gastrointestinal stimulant,Laxative,104,BioPlus Therapeutics,5681,HealthPro, 987-654-3210,oficial@healthpro.com,65.35,83.65,2,167.3
68002,2022-01-01,20:10:22,1525,Avery Carter,(917)705-5356,hlane@gmail.com,female,1978-07-24,2020-05-18,832,irvine,california,92620,,dewey,9,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1117,Solifenacin tablet 100 mg 20 pcs,50,Urinary system drug,Anticholinergic,123,Gilead Sciences,5681,HealthPro, 987-654-3210,oficial@healthpro.com,37.68,44.09,2,88.18
68245,2022-01-02,12:21:05,29,Bruce Coleman,(608)221-3106,andrew84@gmail.net,male,2003-06-09,2021-07-15,636,tulare,ca,93274,1746,e carson ave,466,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,736,Thiocolchicoside tablet 250 mg 30 pcs,29,Muscle relaxant,Relaxants,123,Gilead Sciences,5681,HealthPro, 987-654-3210,oficial@healthpro.com,23.06,28.13,1,28.13
68327,2022-01-02,18:02:51,592,Harper Mitchell,(958)423-4023x13392,manuel51@gmail.net,female,1986-02-25,2017-05-19,202,hoffman estates,il,60169,1800,pebble beach dr,755,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,322,Phenindione tablet 200 mg 30 pcs,7,Anticoagulant,Anticoagulant,127,Amgen,5690,MedWorks, 777-888-0678,oficial@medworks.com,57.31,63.04,2,126.08
68327,2022-01-02,18:02:51,592,Harper Mitchell,(958)423-4023x13392,manuel51@gmail.net,female,1986-02-25,2017-05-19,202,hoffman estates,il,60169,1800,pebble beach dr,755,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,690,Dexamethasone tablet 325 mg 30 pcs,27,Corticosteroid,Corticosteroid,79,MedicoSynth Corporation,5682,PharmaDirect, 693059-8976,sales_department@pharmadirect.com,16.16,19.55,2,39.1
68327,2022-01-02,18:02:51,592,Harper Mitchell,(958)423-4023x13392,manuel51@gmail.net,female,1986-02-25,2017-05-19,202,hoffman estates,il,60169,1800,pebble beach dr,755,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1052,Clonazepam tablet 20 mg 10 pcs,47,Antispastic agent,Benzodiazepine,84,AdvancedHealth Pharma,5680,TrustedMeds, 123-456-7890,oficial@trustedmeds.com,67.41,76.85,1,76.85
68877,2022-01-03,22:02:44,791,Erica Foster,934.830.9433,villegaswendy@gmail.com,female,1977-06-14,2019-03-10,839,merced,california,95340,1321,e 27th street,180,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,235,Colisti tablet 40 mg 10 pcs,2,Antibiotic,Polymyxin,120,AbbVie,5682,PharmaDirect, 693059-8976,sales_department@pharmadirect.com,32.88,42.09,2,84.18
68877,2022-01-03,22:02:44,791,Erica Foster,934.830.9433,villegaswendy@gmail.com,female,1977-06-14,2019-03-10,839,merced,california,95340,1321,e 27th street,180,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1028,Talinolol tablet 400 mg 20 pcs,45,Beta blocker,Antagonist,99,LifeSpring Pharma,5686,MedPro, 905-568-3333,general@medpro.com,20.76,23.67,1,23.67
69278,2022-01-06,00:26:24,970,Ryan Nelson,689-823-5448x49307,rdaugherty@gmail.org,female,1960-03-25,2019-05-22,287,aurora,il,60502,2489,jamestown ln,61,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,856,Secobarbital tablet 20 mg 50 pcs,35,Sedative,Barbiturates,116,Sanofi,5680,TrustedMeds, 123-456-7890,oficial@trustedmeds.com,58.33,71.16,1,71.16
69278,2022-01-06,00:26:24,970,Ryan Nelson,689-823-5448x49307,rdaugherty@gmail.org,female,1960-03-25,2019-05-22,287,aurora,il,60502,2489,jamestown ln,61,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,961,Risedronate tablet 80 mg 40 pcs,42,Bone density medication,Bisphosphonate,114,Roche,5682,PharmaDirect, 693059-8976,sales_department@pharmadirect.com,60.48,68.95,2,137.9
69278,2022-01-06,00:26:24,970,Ryan Nelson,689-823-5448x49307,rdaugherty@gmail.org,female,1960-03-25,2019-05-22,287,aurora,il,60502,2489,jamestown ln,61,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1297,Vitamin V (Carnitine) tablet 50 mg 20 pcs,60,Vitamin,Vitamins,94,PureLife Labs,5694,MedConnect, 543890-7777,oficial@medconnect.com,16.3,19.4,2,38.8
69355,2022-01-06,02:33:39,1852,Hannah Sanders,(237)339-7397,rbarrera@gmail.com,female,1996-10-06,2018-11-24,718,fallbrook,california,92028,620,wst elder st,114,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,265,Ebastine tablet 250 mg 40 pcs,4,Antihistamine,Antihistamine,78,ApexBio Pharmaceuticals,5690,MedWorks, 777-888-0678,oficial@medworks.com,36.29,40.28,3,120.84
69355,2022-01-06,02:33:39,1852,Hannah Sanders,(237)339-7397,rbarrera@gmail.com,female,1996-10-06,2018-11-24,718,fallbrook,california,92028,620,wst elder st,114,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1031,Miconazole cream cream 100 g,46,Topical medication,Keratolytic,105,MedVantage Labs,5682,PharmaDirect, 693059-8976,sales_department@pharmadirect.com,16.25,21.12,2,42.24
69355,2022-01-06,02:33:39,1852,Hannah Sanders,(237)339-7397,rbarrera@gmail.com,female,1996-10-06,2018-11-24,718,fallbrook,california,92028,620,wst elder st,114,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1093,Atrovent nasal spray 240 ml,49,Respiratory system drug,Anticholinergic,128,Biogen,5683,CareRx, 222-888-9799,oficial@carerx.com,51.11,57.24,3,171.72
69531,2022-01-06,07:53:41,1009,Madelyn Coleman,537.459.1366x32422,joneskaren@gmail.org,male,1981-05-12,2017-10-21,415,new york city,n.y,10011,,west 13th street,646,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1121,Trimethoprim/sulfamethoxazole tablet 50 mg 60 pcs,50,Urinary system drug,Antibiotic,112,GlaxoSmithKline,5690,MedWorks, 777-888-0678,oficial@medworks.com,52.12,67.76,3,203.28
